"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass by region"
"Region 1 area km2",46657.5737708939
"Number of cells",136

Year,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
11,0.006350139,0.007133323,0.0009660332,0.08935722,0.0176839,0.1768263,0.0102709,0.003414022,2.576443,0.00266667,0.1241815,0.01357385,0.06200841,0.002107749,0.01989217,0.02330972,0.03277174,0.01604261,0.1981057,0.004084602,0.02658402,0.02891657,0.02070003,0.01293072,0.004216001,0.005136396,0.03012075,0.1018314,0.1918679,0.3308015,0.1985894,0.0008566272,7.536743E-05,0.007738993,0.007165369,0.01584748,0.0001801662,2.512622E-05,0.004711712,9.890562E-08,1.277938E-06,0.09166036,0.01080832,0.03130692,0.04136688,4.063889,1.567818,3.641056,1.270775,3.940634,1.265652,0.5619709,0.01258967,4.918325,37.00679,3.405204,0.05187914,0.3446963,0.6007001,0.2724277,2.65282,5.667854,3.118788,2.50271,15.8054,17.66922,43.72071,40.5838,7.541218,66.33351,2.755868,7.754841,4.949561,0.6302438,22.0456,33.68153,0.3352765,50.91597,35.35144,19.39933,454.4453,253.5745,457.0142
12,0.005896502,0.006394772,0.0008845162,0.08665681,0.01487755,0.1666389,0.008994729,0.003329962,2.501127,0.002683369,0.1350093,0.01222212,0.04629782,0.001963194,0.02013765,0.02129121,0.0305753,0.01525581,0.1922246,0.003571458,0.02516603,0.02550936,0.0162487,0.009962761,0.003228638,0.004533642,0.02845654,0.0925552,0.1733953,0.3196951,0.186586,0.0007648552,6.513218E-05,0.006993625,0.006180769,0.01376669,0.0001647656,2.223515E-05,0.004314091,0,1.343345E-06,0.08392765,0.01011449,0.02773538,0.03831628,3.832179,1.501319,3.514476,1.207924,3.827524,1.235754,0.5178818,0.01365126,4.773079,35.44392,3.733521,0.02881916,0.4002501,0.5348576,0.2963794,2.674813,5.585595,3.19362,2.318208,15.13812,19.37429,42.03251,41.98907,7.45594,66.51611,2.562427,7.250147,4.261768,0.6117817,22.8518,34.2224,0.319717,54.77846,35.37739,19.23732,455.4238,254.7555,444.5959
13,0.005219992,0.005931415,0.0008276443,0.08507702,0.01360175,0.1608362,0.00779418,0.003442189,2.510516,0.003116935,0.1416975,0.01048948,0.04914728,0.001825426,0.0165474,0.01694194,0.02801833,0.01587796,0.1943686,0.003759049,0.02581645,0.02573478,0.01618811,0.009181205,0.002802188,0.004429455,0.02917776,0.09261926,0.1681168,0.3181873,0.1898841,0.0007190093,7.021624E-05,0.00674159,0.006584594,0.01462261,0.0001699858,2.473264E-05,0.004834204,0,4.918521E-06,0.08195537,0.01017182,0.02678398,0.03437318,3.759976,1.530026,3.499269,1.266324,4.015957,1.318683,0.4953262,0.01600749,4.844038,33.55509,4.122836,0.04042073,0.4490533,0.49909,0.3131588,2.747058,6.054073,3.59303,2.456472,17.18194,19.84864,44.48048,41.47101,7.524175,71.85508,2.499999,7.192032,4.126359,0.5781879,21.25463,32.36955,0.2979035,47.73376,35.12983,19.18918,454.6733,247.6876,453.9073
14,0.004837534,0.005693511,0.000799289,0.08423377,0.01277032,0.1587937,0.007096764,0.003421637,2.430824,0.00347434,0.1573742,0.0107367,0.05444602,0.001875769,0.01756327,0.01760126,0.02807382,0.01634399,0.1923528,0.003687771,0.02673968,0.02676656,0.0170899,0.01056926,0.002877977,0.004044342,0.02824755,0.09142148,0.1617053,0.3163186,0.1891562,0.0007555399,7.86533E-05,0.006956346,0.008135806,0.01564094,0.0001792477,2.707022E-05,0.005331373,8.288128E-07,5.827435E-06,0.08334076,0.0102563,0.02659421,0.03406366,3.732414,1.549532,3.457489,1.307792,4.123888,1.353059,0.4788972,0.01752334,4.828583,34.08809,3.937892,0.08376489,0.4254586,0.4853865,0.3005342,2.825075,6.008045,3.771198,2.553804,16.3783,18.97702,45.7799,40.20303,7.503359,71.18235,2.586747,7.566038,4.393396,0.5865501,19.73054,31.79545,0.2907851,45.71939,35.08487,19.32112,453.4657,246.1083,458.7635
15,0.005158951,0.005810807,0.0008057253,0.0865977,0.01300115,0.1671664,0.00723508,0.003555561,2.502884,0.004504601,0.1927541,0.01202258,0.05944556,0.001919966,0.02026786,0.02067699,0.02987479,0.01791584,0.2106792,0.003919072,0.02773451,0.02935837,0.01865161,0.01129725,0.0035419,0.004305796,0.02856419,0.09057832,0.1624146,0.3291962,0.2087823,0.0008300045,8.833424E-05,0.007437751,0.009820282,0.01680813,0.0001912963,2.950251E-05,0.005823174,0,1.088942E-05,0.08919758,0.01059009,0.02859417,0.03617984,3.842402,1.656424,3.63907,1.389248,4.187918,1.431586,0.5155789,0.01972575,5.151238,37.09924,4.125251,0.1831519,0.4283215,0.495164,0.3299556,3.151037,6.151187,3.989086,2.577444,16.05018,19.87004,47.91018,39.21757,7.562542,71.46739,2.506577,7.352561,4.147432,0.5667202,19.67593,32.33657,0.3016278,44.63113,34.85179,19.1512,455.1952,246.1277,451.661
16,0.005353231,0.006059212,0.0008436222,0.08880732,0.01380337,0.1702043,0.007612305,0.003400469,2.651329,0.004906382,0.2440977,0.01287354,0.0636448,0.001878972,0.0239692,0.02395098,0.03064439,0.01816596,0.2122084,0.003922737,0.02833804,0.02894141,0.01983398,0.01219885,0.003679135,0.004799604,0.0295151,0.0860725,0.1534249,0.3212166,0.2119922,0.0008692275,9.281046E-05,0.007699113,0.0101957,0.01773006,0.0001991044,3.13748E-05,0.006082488,0,5.19716E-06,0.09282243,0.01068478,0.02930106,0.03763117,3.900193,1.679014,3.678202,1.408334,4.146976,1.41692,0.5994255,0.02009393,5.211489,36.7436,3.812171,0.2836267,0.3939531,0.3627676,0.3066741,2.988207,6.006223,3.790609,2.54889,16.01043,18.97723,47.36736,39.67479,7.572117,72.20962,2.623054,7.61681,4.437462,0.5931858,20.46132,32.06738,0.2979899,47.27508,34.97869,19.23395,456.6408,247.9524,452.7356
17,0.005696146,0.006346249,0.0008919802,0.09164149,0.01469385,0.1752713,0.008181869,0.003233183,2.653716,0.004844624,0.2963726,0.01344872,0.06385844,0.001921928,0.02537482,0.02897941,0.03164118,0.01857573,0.2215881,0.003894345,0.0282247,0.02932206,0.0187526,0.01222091,0.00386602,0.005029535,0.03081739,0.08908043,0.1473326,0.316116,0.2104089,0.0008925573,9.492214E-05,0.007822886,0.009891503,0.01778805,0.000206164,3.259107E-05,0.006147107,2.315803E-09,1.458214E-05,0.09563645,0.01082048,0.03009602,0.03866684,3.973447,1.709902,3.748047,1.410463,4.218245,1.425973,0.716556,0.02010225,5.32297,37.48816,3.857689,0.3183991,0.3916639,0.2247419,0.2919678,2.994141,6.248319,3.64645,2.558056,16.10462,18.65174,47.27827,38.24544,7.427441,70.30371,2.478676,7.226549,4.160187,0.5622601,20.40077,32.05068,0.3019356,46.14946,35.05455,19.37491,454.3487,245.6114,457.8226
18,0.005857626,0.006551414,0.0009324113,0.09333447,0.01516371,0.1724324,0.008755219,0.003183665,2.686506,0.003963008,0.328602,0.01369563,0.05888313,0.001905075,0.02429588,0.03324723,0.03197231,0.01761148,0.2184837,0.0037539,0.02742391,0.02830727,0.01746147,0.01035978,0.003484129,0.004963189,0.02907103,0.08855989,0.1460827,0.297443,0.1949155,0.0008561195,9.217312E-05,0.007580757,0.008630693,0.0159626,0.0002076273,3.310232E-05,0.00605042,0,2.404144E-05,0.09452323,0.01065348,0.02945157,0.03894731,3.851096,1.67399,3.71131,1.352619,4.105912,1.375072,0.827054,0.01820928,5.204424,36.69057,3.891331,0.3239877,0.3919921,0.1031372,0.2706304,2.808008,6.438648,3.10533,2.430284,15.67818,18.34567,45.46345,41.16652,7.752699,66.60415,2.698021,7.49432,4.968493,0.6052531,25.92319,34.28714,0.3022364,49.91218,34.95617,18.96802,452.28,256.3144,461.5739
19,0.00625124,0.007064247,0.0009583864,0.1003661,0.01603152,0.1802663,0.009605224,0.002919711,2.881463,0.003081246,0.3573794,0.01463756,0.06584907,0.001802344,0.0225347,0.03634689,0.03420912,0.01759291,0.2215497,0.00384228,0.02826076,0.02994189,0.01893575,0.01097292,0.003545793,0.005117428,0.03134397,0.09172866,0.1585084,0.3099353,0.1977611,0.0009087066,9.764498E-05,0.007998697,0.009305323,0.01712242,0.0002189259,3.548906E-05,0.006391846,0,9.024861E-05,0.1013347,0.01119336,0.03178006,0.04232978,3.935168,1.779916,3.895804,1.407902,4.22169,1.446368,0.9749992,0.01845595,5.451341,38.50702,3.859325,0.3196837,0.377213,0.04561896,0.2453859,3.001205,7.58384,3.330964,2.623678,17.68241,18.49527,48.12082,40.1165,7.738454,75.62785,2.34069,6.809076,3.819398,0.5981945,25.925,35.04146,0.3294653,49.8569,36.19626,19.6361,487.1464,262.8328,463.2479
20,0.006939313,0.007504639,0.0009681498,0.1079265,0.01681732,0.1909341,0.01022409,0.002904019,3.136832,0.002817315,0.3652949,0.01457934,0.06876817,0.001786419,0.02086272,0.03519548,0.03611094,0.0176178,0.2280534,0.003810923,0.02833424,0.02965602,0.0189991,0.01145315,0.003687839,0.005071612,0.03147103,0.09610904,0.1626195,0.3304601,0.1948585,0.0009505754,0.0001036272,0.008498848,0.008960702,0.01877564,0.0002297197,3.783371E-05,0.006744844,0,3.069941E-05,0.1058708,0.01152796,0.03493772,0.04514303,4.108701,1.872171,4.035185,1.476127,4.62029,1.474347,1.065535,0.01886831,5.581278,39.16219,3.626347,0.2810603,0.3588971,0.01895312,0.2187396,2.786383,7.448639,3.509789,2.706389,16.97783,16.01545,48.17468,36.73994,7.396036,74.70042,2.634741,7.095684,4.33117,0.5514853,20.89525,29.81553,0.3203652,41.11588,32.08733,17.94645,408.7467,232.3961,461.9781
21,0.003855948,0.00458379,0.0009541609,0.06438326,0.01102858,0.1133241,0.006235594,0.00177505,1.679316,0.001876841,0.2089773,0.008667345,0.03514985,0.007440587,0.01311156,0.021032,0.02316661,0.009984772,0.1253882,0.002339096,0.01611798,0.01648897,0.01002948,0.006161135,0.002059146,0.00305971,0.01747585,0.05493971,0.09435409,0.2000051,0.1289365,0.0005341069,6.424666E-05,0.005109286,0.00483783,0.01086639,0.0001333943,2.288692E-05,0.003915716,0,1.290287E-05,0.06135188,0.007021225,0.01870072,0.02744148,2.406977,1.074491,2.337034,0.840785,2.753039,0.8600886,0.6086736,0.01067605,3.172514,22.85095,2.479288,0.2448397,0.261822,0.006955508,0.1468395,1.715447,3.748776,2.138442,1.686977,9.727719,14.56083,29.05508,34.57062,6.725563,42.39168,3.100536,8.767541,6.62792,0.642374,23.03153,47.2565,0.2067042,74.52852,39.6802,23.05854,447.3132,299.4915,468.9214
22,0.0008201855,0.001474945,0.0008832147,0.01992408,0.004217349,0.0409866,0.002137252,0.001613211,0.5562906,0.002369869,0.06743128,0.002997638,0.01289359,0.00592679,0.0055703,0.006268464,0.008921574,0.006365294,0.08767911,0.002252967,0.008612895,0.006587366,0.003192972,0.001640815,0.0005855079,0.001767432,0.01023853,0.02707358,0.04305024,0.06521279,0.04132326,0.0001609301,2.992747E-05,0.001693724,0.001579591,0.00560119,6.488652E-05,1.382198E-05,0.001991391,1.74767E-08,4.369929E-05,0.0231653,0.003043248,0.006539526,0.008800634,0.7610095,0.5372828,1.392454,0.4951451,1.532656,0.5543829,0.2080386,0.007049785,2.001403,13.01995,4.709856,0.2280772,0.5757132,0.006742293,0.2815278,1.838205,3.702569,1.389596,0.7772524,5.053409,18.17305,17.75733,58.77553,7.973258,31.53461,3.20236,6.049531,7.046214,0.7165994,62.65786,50.80825,0.07780534,89.30964,31.51549,17.72767,339.0195,309.2282,466.8687
23,0.0005138936,0.001963052,0.0008261935,0.04108325,0.004227396,0.04767724,0.00313949,0.002871849,0.5402502,0.004116242,0.07119317,0.005564745,0.01842698,0.002491258,0.00697639,0.004041134,0.01234421,0.009227854,0.1366224,0.003578188,0.01365425,0.01007759,0.004296132,0.001758075,0.0005227649,0.00164915,0.01012664,0.02608801,0.03679231,0.07302121,0.04451671,0.0002281366,4.115743E-05,0.00211743,0.001960719,0.00592767,0.0001019479,2.169148E-05,0.00310564,0,9.989977E-07,0.03271625,0.004951516,0.02055586,0.01328299,0.9436949,0.9454088,2.160326,0.7635005,2.528088,0.8355295,0.2524119,0.01088187,4.040224,25.08388,7.268861,0.2381944,0.7523959,0.01357222,0.4785409,2.609945,22.93875,1.896016,0.87678,7.776489,17.71284,26.17879,47.63169,11.59283,58.84642,3.99521,8.000497,17.71603,0.8305026,290.0088,27.08655,0.08726054,105.5184,26.45592,13.93914,246.9415,410.8588,884.3027
24,0.001022973,0.002685372,0.0008030836,0.06409667,0.004857082,0.08058595,0.004967179,0.003201906,1.816312,0.004263003,0.1090131,0.009927199,0.02881913,0.001720113,0.01187104,0.005677345,0.01693938,0.01383813,0.2072669,0.00470395,0.03126161,0.01816564,0.008120102,0.003597625,0.0007239277,0.001637092,0.01707884,0.03096838,0.0455334,0.1199849,0.06799086,0.0004317828,6.14658E-05,0.003636089,0.004004008,0.01035337,0.0001483366,2.945408E-05,0.004367996,0,5.926617E-06,0.05580237,0.007470918,0.04352782,0.02009078,1.849859,1.533832,3.123162,1.184873,6.153893,1.107092,0.3525715,0.01751933,7.235476,37.86785,4.381377,0.2365741,0.4448787,0.02667911,0.3753997,3.157449,10.14181,2.522844,1.639261,16.9455,17.85803,35.13566,35.39481,7.786878,59.75766,2.817471,8.34333,4.954412,0.5164761,15.79129,26.70987,0.08921129,64.03374,32.34289,18.53718,285.5903,215.895,465.6349
